DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET

ARF,Agrarian Reform Fund,SPF,ARF,Agrarian Reform Fund,C.01,        For the Requirements of the Comprehensive Agrarian Reform Program,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.m,            Operational Requirements of the Congressional Oversight Committee on Agricultural and Fisheries Modernization,0,CO,,10000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.n,            Operational Requirements of the Joint Congressional Oversight Committee on Civil Aviation,0,CO,,10000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.o,            Operational Requirements of the Joint Congressional Oversight Committee on Ecological Solid Waste Management,0,CO,,3000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.p,            Operational Requirements of the Joint Congressional Oversight Committee on the Philippine Clean Water Act,0,CO,,3000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.q,            Operational Requirements of the Congressional Oversight Committee on Safeguard Measures Act,0,CO,,3000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.r,            Operational Requirements of the Congressional Oversight Committee on Universally-Accessible Cheaper and Quality Medicines Act,0,CO,,3000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.s,"            Operational Requirements of the Congressional Oversight Committee on Magna Carta for Micro, Small and Medium Enterprises",0,CO,,2000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.t,            Operational Requirements of the Joint Congressional Oversight Committee on Automated Election System,0,CO,,10000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.u,            Operational Requirements of the Joint Congressional Oversight Committee on Human Security Act,0,CO,,10000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.v,            Operational Requirements of the Congressional Oversight Committee on the Physical Examination of Imported Articles,0,CO,,5000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.w,            Operational Requirements of the Congressional Oversight Committee on Credit Information System,0,CO,,5000,
CONGRESS,Congress of the Philippines,AGENCY,HR,House of Representatives,B.01.x,            Operational Requirements of the Congressional Oversight Committee on Comprehensive Agrarian Reform Program,0,CO,,25000,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01,        General Administration and Support,140,Nationwide,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01.a,            General Administration and Support Services,140,Nationwide,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01.a.01,                  General management and supervision,140,Nationwide,22948,7708,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.01.b,            Productivity Incentive Benefits,140,Nationwide,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.03,        Operations,140,Nationwide,,,
CONGRESS,Congress of the Philippines,SUBAGENCY,HET,House Electoral Tribunal,A.03.a,            Adjudication of Electoral Contests involving Members of the House of Representatives,140,Nationwide,35511,36685,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01,        General Administration and Support,140,Nationwide,,,
OP,Office of the President,AGENCY,OP-PROPER,The President's Offices,A.01.a,            General Administration and Support Services,140,Nationwide,,,
